Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,NumberOfFrequencies,AttendedClasses,NumberOfReferences,Dropout,EnrolledTime,DaysSinceLastVisit,LazinessIndex
1,2170.0,89,158.2,0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0,0,1,376,1597,0.9654934437543133
1,1820.0,12,173.8,0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0,0,1,778,126,0.6719698212235525
0,0.0,94,1120.1,0,1.0,0.0,0.0,0.0,0.0,0.0,144.0,99,0,1,777,457,1.0
1,1890.0,9,69.6,1,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0,0,1,41,9,0.433899433899434
0,2120.0,318,399.2,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5,0,1,383,1826,1.0
0,0.0,10,758.3,0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,64,0,1,759,467,0.48335246842709534
0,2630.0,27,157.3,0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0,0,1,155,288,0.7776542523624236
0,1820.0,9,266.1,0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,0,0,1,298,1196,0.9179924553058881
0,1640.0,56,47.6,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0,1,63,1452,0.9835984910611776
1,1820.0,0,53.5,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4,0,0,30,0,0.30069930069930073
0,0.0,53,177.1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,160,1559,0.8851894374282434
1,1930.0,47,107.6,0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0,0,1,139,1352,0.9666611101850309
1,5870.0,21,65.2,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0,0,1,72,113,0.8333055509251542
0,5780.0,88,166.6,0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0,0,1,146,1428,1.0
1,2360.0,8,146.5,0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0,0,1,144,122,0.7047728391011974
0,2960.0,19,1164.38,0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,24,0,0,1503,19,0.5407577497129736
1,2960.0,38,194.6,0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0,0,1,232,1282,0.868787928489421
0,1900.0,5,118.1,0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6,0,0,425,5,0.7668997668997669
1,1570.0,12,109.1,0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,5,0,0,590,12,0.6928746928746929
1,4580.0,3,889.2,0,1.0,0.0,0.0,0.0,0.0,0.0,270.0,35,0,0,828,3,0.7539773659176644
